ax, ay, bx, by, cx, cy, Цвет заливки, Цвет границы
-72, -42, -59, -45, -73, -42, Bisque, Snow
-14, -92, -14, -86, -12, -86, Cadet blue, Honeydew
-85, 38, -89, 51, -95, 38, Dark grey, Burly wood
-60, -14, -57, -16, -64, -9, Chocolate, Lime
28, -62, 22, -62, 21, -61, Yellow green, Pale green
70, -79, 72, -93, 74, -94, Lemon chiffon, Lawn green
9, -42, 9, -46, 3, -36, Lavender blush, Sky blue
72, -67, 75, -61, 74, -68, Light salmon, Light yellow
-8, 88, -5, 87, -8, 80, Medium aqua marine, Yellow green
21, -63, 29, -58, 31, -55, Dark khaki, Peru
41, -13, 47, -9, 38, -5, Deep sky blue, Olive
29, 31, 29, 37, 28, 31, Rosy brown, Maroon
38, -46, 37, -52, 46, -51, Golden rod, Lavender blush
-24, 92, -25, 87, -37, 97, Magenta, Linen
92, -31, 86, -45, 93, -46, Medium purple, Orchid
53, -53, 49, -48, 50, -49, Maroon, Royal blue
-46, 25, -32, 14, -38, 17, Linen, Slate gray
67, 88, 69, 85, 68, 91, Navajo white, Azure
-67, -84, -76, -80, -73, -81, Light coral, White
-89, 14, -77, 14, -89, 13, Coral, Purple
-76, 17, -71, 0, -68, 2, Sky blue, Green
74, -51, 70, -66, 79, -61, Sea green, Navajo white
-42, -57, -49, -58, -51, -51, Floral white, Corn flower blue
89, -25, 94, -20, 89, -22, Purple, Midnight blue
76, 43, 69, 37, 79, 43, Medium purple, Yellow green
51, 41, 40, 31, 47, 33, Dark magenta, Burly wood
63, 3, 58, 2, 49, -6, Saddle brown, Light yellow
49, 86, 50, 88, 47, 83, Pale golden rod, Thistle
-23, 70, -33, 65, -30, 68, Tomato, Medium slate blue
69, 85, 75, 74, 76, 77, Spring green, Light blue
24, 51, 35, 55, 31, 49, Silver, Teal
63, -3, 68, 3, 67, 4, Maroon, Grey
75, -42, 85, -39, 71, -44, Lime, Purple
5, -12, 0, 1, -4, -6, Yellow green, Midnight blue
-3, 2, -6, 4, -6, 4, Dark red, Sea shell
30, -34, 17, -28, 25, -41, Yellow, Orange
88, 28, 87, 31, 90, 22, Sky blue, Dark golden rod
79, 30, 86, 30, 76, 37, Midnight blue, Medium sea green
-86, -43, -79, -46, -84, -57, Indigo, Peru
33, -7, 30, -15, 32, -12, Tomato, Gray
95, -50, 99, -51, 97, -39, Tan, Hot pink
-80, 47, -74, 45, -73, 51, Gray, Midnight blue
37, -47, 45, -42, 47, -58, Red, Old lace
19, 2, 28, 11, 18, 0, Crimson, Silver
57, -81, 57, -83, 67, -87, Tan, Hot pink
63, -86, 67, -96, 62, -92, Purple, Medium spring green
-80, -68, -79, -81, -82, -65, Dodger blue, Turquoise
-100, 59, -91, 55, -95, 66, Brown, Midnight blue
9, 31, 7, 25, 9, 36, Hot pink, Antique white
-66, -59, -70, -60, -80, -71, Chart reuse, Lawn green
-50, -36, -45, -23, -42, -33, Chart reuse, Snow
60, -72, 60, -71, 47, -73, Burly wood, Deep sky blue
93, -2, 98, 1, 92, 5, Powder blue, Dark slate gray
-35, -23, -34, -18, -47, -16, Medium orchid, Dark orange
27, 75, 40, 70, 29, 69, Blue, Midnight blue
36, -56, 38, -55, 38, -64, Powder blue, Light pink
-19, 83, -13, 84, -22, 78, Crimson, Magenta
38, 37, 33, 31, 34, 39, Dark salmon, Green
11, -14, 6, -17, 9, -14, Light blue, Honeydew
59, -95, 65, -95, 61, -81, Navy, Plum
-49, 27, -51, 24, -43, 28, Maroon, Olive
-3, 1, -6, -6, 2, -12, Gold, Dark blue
20, -51, 26, -45, 32, -56, Dark green, Olive
86, -9, 90, -18, 74, -13, White, Blue
42, 18, 37, 16, 39, 22, Chocolate, Pale violet red
16, 38, 16, 27, 20, 42, Cyan, Mint cream
-7, -98, -23, -99, -15, -92, Blue, Fuchsia
33, -61, 26, -65, 30, -64, Orange red, Light pink
-94, -66, -92, -68, -86, -63, Gainsboro, Antique white
-89, 23, -93, 21, -96, 26, Sienna, Dark golden rod
61, 11, 64, 4, 53, 18, Medium spring green, Wheat
-40, 91, -48, 83, -39, 83, Floral white, Papaya whip
90, 100, 89, 88, 92, 98, Burly wood, Forest green
35, -10, 44, -16, 35, -8, Black, Midnight blue
23, 59, 33, 53, 30, 49, Green yellow, Purple
-47, -37, -33, -33, -34, -29, Lemon chiffon, Dim gray
66, -69, 58, -60, 63, -56, Light coral, Fuchsia
-79, 99, -67, 96, -77, 95, Misty rose, Red
-95, 85, -91, 75, -84, 80, Violet, Beige
22, 55, 26, 47, 32, 43, Dark khaki, Pale turquoise
80, 43, 87, 33, 95, 36, Plum, Lawn green
-68, -27, -71, -43, -74, -39, Saddle brown, Light sea green
69, -37, 68, -41, 78, -44, Coral, Black
-18, 40, -11, 51, -17, 50, Snow, Dark khaki
53, -5, 68, 5, 59, -7, Indian red, Medium orchid
65, -88, 73, -95, 71, -83, Steel blue, Thistle
95, 73, 79, 66, 96, 65, Blue, Dark orange
-40, 33, -45, 32, -47, 44, Navy, Firebrick
-34, 80, -45, 88, -30, 84, Peru, Slate gray
-68, 86, -66, 82, -75, 85, Black, Orange
29, -27, 29, -22, 35, -23, Aqua marine, Pink
2, -10, -4, -16, 7, -12, Yellow, Navy
61, -98, 57, -99, 63, -90, Tomato, Dark sea green
-66, 79, -81, 82, -74, 78, Pink, Dark magenta
-96, -36, -86, -41, -100, -35, Gray, Blanched almond
13, 10, 16, 16, 2, 16, Dim gray, Gray
-21, -88, -24, -91, -19, -82, Turquoise, Salmon
12, 2, 9, -3, 9, 5, Maroon, Tomato
37, -85, 31, -75, 34, -81, Light grey, Light yellow
39, -78, 45, -79, 39, -66, Antique white, Light blue
-14, -50, -15, -49, -25, -45, Dim gray, Sea green
40, -81, 38, -86, 30, -88, Khaki, Burly wood
-100, -41, -89, -33, -92, -42, Dark slate gray, Light sky blue
76, 12, 70, 4, 72, 2, Medium turquoise, Spring green
-24, -55, -22, -50, -17, -53, Light grey, Light salmon
20, 4, 16, 14, 26, 20, Teal, Saddle brown
81, 93, 71, 92, 87, 90, Dark gray, Crimson
-95, -78, -100, -89, -88, -83, Medium blue, Light coral
94, -72, 76, -74, 81, -71, Violet, Light coral
-30, 35, -25, 25, -34, 30, Rosy brown, Golden rod
100, -48, 93, -60, 90, -63, Light pink, Dark red
-64, -24, -64, -13, -56, -19, Chocolate, Dark red
6, -48, 10, -52, 3, -60, Salmon, Forest green
91, -78, 81, -75, 88, -82, Green, Slate blue
-25, 45, -21, 56, -23, 45, Slate blue, Khaki
55, -93, 48, -84, 47, -91, Blue, Linen
68, -45, 67, -47, 65, -52, Papaya whip, Lavender blush
8, -7, 0, -11, 15, -8, Light pink, Chocolate
74, -29, 73, -16, 72, -31, Sea green, Dark green
-13, 52, -12, 59, -3, 47, White smoke, Olive drab
0, 64, 0, 59, -2, 59, Olive, Sea shell
-87, 51, -78, 50, -92, 41, Gray, Gold
69, -42, 77, -43, 69, -33, Gold, Fuchsia
95, 31, 90, 31, 91, 31, Dark magenta, Yellow green
10, 96, 13, 93, 11, 93, Maroon, Lawn green
26, -4, 24, -2, 29, 7, Deep sky blue, Orchid
-5, -18, -14, -22, -2, -17, Blue, Purple
42, -22, 33, -21, 38, -13, Black, Rosy brown
98, 64, 95, 63, 89, 67, Green yellow, Slate gray
-50, -56, -54, -59, -56, -60, Green yellow, Teal
39, -95, 37, -97, 47, -83, Medium slate blue, Sandy brown
48, 85, 58, 91, 59, 90, Dark red, Dark red
-80, 49, -68, 49, -79, 39, Medium aqua marine, Yellow
99, 76, 95, 73, 95, 83, Corn flower blue, Sea shell
-53, -9, -56, -10, -56, -7, Cyan, Purple
-21, 38, -30, 31, -29, 44, Wheat, Tomato
-32, -49, -31, -51, -42, -60, Crimson, Medium violet red
-87, -1, -77, -4, -74, 8, Lime, Pink
16, 70, 14, 74, 22, 66, Red, Antique white
-76, 15, -71, 12, -67, 18, Tan, Magenta
72, 19, 74, 22, 80, 16, Medium blue, Medium sea green
75, -20, 84, -22, 85, -29, Dark golden rod, Mint cream
75, -34, 82, -30, 76, -36, Light grey, Moccasin
57, 70, 64, 66, 61, 67, Alice blue, Hot pink
-97, -32, -92, -24, -97, -33, Yellow, Silver
88, 24, 81, 28, 79, 12, Dark orange, Silver
79, -67, 79, -61, 81, -63, Yellow, Yellow green
77, -24, 73, -25, 73, -11, White, Purple
53, 1, 44, 7, 39, 12, Spring green, Magenta
47, -89, 47, -77, 56, -93, Dark slate gray, Bisque
-6, -38, -11, -34, -13, -40, Medium spring green, Medium spring green
-39, -6, -31, -11, -35, -9, Dim gray, Gold
-77, -89, -76, -83, -67, -83, Pale violet red, Mint cream
-93, 81, -77, 84, -84, 79, Light coral, Pale green
-76, -36, -78, -37, -66, -32, Old lace, Royal blue
46, 54, 40, 68, 35, 62, Navy, Khaki
-64, 17, -73, 14, -76, 26, Dim grey, Maroon
22, -27, 19, -26, 24, -23, Salmon, Sky blue
5, -1, 4, -3, 5, 12, Blue violet, Coral
-42, -31, -41, -38, -45, -32, Khaki, Teal
32, -94, 24, -94, 23, -100, Ghost white, Dark khaki
15, 3, 14, 7, 18, 6, Medium orchid, Crimson
-22, -34, -18, -17, -13, -29, Olive, Pale golden rod
61, 65, 54, 66, 49, 71, Yellow, Dark magenta
-73, 55, -72, 60, -60, 55, Light slate gray, Green yellow
69, -47, 76, -48, 83, -51, Green, Yellow
-78, 52, -75, 50, -81, 47, Powder blue, Maroon
-81, 61, -76, 68, -71, 60, Corn silk, Midnight blue
-41, -67, -37, -61, -42, -69, Moccasin, Ivory
67, 17, 59, 5, 56, 20, Sea shell, Silver
-83, -53, -83, -51, -83, -38, Black, Lemon chiffon
18, -96, 17, -100, 18, -98, Dark salmon, Red
86, 14, 77, 21, 83, 24, Dark sea green, Light golden rod yellow
47, 75, 44, 67, 47, 67, Deep sky blue, Chocolate
-49, -71, -52, -67, -48, -69, Gainsboro, Gray
-1, -83, -12, -84, -8, -85, Maroon, Dark slate gray
99, -28, 88, -24, 96, -36, Antique white, Pale green
-6, -74, -17, -70, -14, -69, Salmon, Olive
32, 43, 35, 41, 21, 41, Medium spring green, Aqua marine
-38, -53, -43, -54, -38, -62, Black, Slate blue
32, 95, 35, 92, 34, 90, Peru, Spring green
94, -42, 96, -53, 94, -48, Medium slate blue, Moccasin
71, -19, 63, -11, 63, -14, Grey, Light sky blue
67, -72, 72, -75, 71, -78, Chocolate, Dark salmon
87, -55, 82, -48, 86, -55, Lime, Sky blue
18, 45, 19, 40, 18, 46, Light yellow, Medium turquoise
-11, 38, -8, 31, -3, 30, Dark grey, White
-64, -11, -74, -4, -60, 3, Fuchsia, Navy
-31, -25, -31, -10, -38, -21, Lemon chiffon, Green
18, 0, 22, -10, 25, 2, Spring green, Misty rose
-28, 36, -26, 39, -28, 44, Salmon, Old lace
-2, 93, 7, 100, -3, 91, Silver, Gainsboro
-71, -96, -79, -96, -69, -96, White, Olive
65, -33, 54, -38, 66, -34, Indian red, Dark golden rod
22, 90, 8, 86, 23, 90, Dim grey, Dark cyan
-48, -71, -55, -70, -56, -67, Gainsboro, Sky blue
-36, -28, -43, -21, -34, -21, Tan, Light pink
-81, -15, -79, -23, -78, -13, Green yellow, Royal blue
-94, -47, -100, -47, -97, -31, Coral, Tomato
-7, -98, -7, -92, -6, -92, Fuchsia, Dark red
72, -57, 70, -67, 67, -54, Firebrick, Light steel blue
-100, 54, -99, 57, -91, 62, Dark green, Dark violet
-53, -11, -49, -8, -41, -11, Bisque, Magenta
33, -69, 32, -68, 43, -68, Deep pink, Light blue
38, 64, 52, 71, 45, 64, Green, Black
-97, -21, -88, -13, -91, -16, Dark slate blue, Navajo white
80, -42, 75, -44, 80, -46, Khaki, Lime green
46, 71, 58, 80, 59, 71, Corn flower blue, Tan
-99, 50, -89, 45, -83, 44, Purple, Azure
-97, 17, -99, 14, -89, 24, Wheat, Yellow green
-36, 83, -33, 80, -42, 82, Plum, Chart reuse
-38, 40, -34, 39, -48, 36, Dark orchid, Chart reuse
-1, -87, -9, -94, -13, -93, Yellow, Purple
52, -68, 49, -54, 48, -58, Lavender blush, Fuchsia
-74, -36, -75, -41, -74, -42, Snow, Light gray
99, 33, 100, 37, 88, 31, Dark green, Medium purple
-24, -92, -24, -84, -22, -87, Light gray, Lavender blush
62, -97, 62, -89, 69, -92, Orange, White smoke
10, 2, 2, 16, 15, 17, Cyan, Gray
9, 70, 5, 79, 12, 79, Medium purple, Green
11, 9, 15, 17, 13, 10, Linen, Dark magenta
-53, -17, -54, -18, -51, -16, Plum, Thistle
-6, 4, -3, -2, -2, 6, Corn silk, Dark blue
92, 89, 88, 88, 93, 97, Silver, Purple
29, -37, 25, -42, 33, -44, Dark blue, Honeydew
74, -11, 78, -18, 77, -14, Medium blue, Fuchsia
94, 76, 91, 74, 97, 70, Teal, Papaya whip
-66, 2, -53, 9, -66, 2, Light pink, Grey
-79, -85, -66, -81, -75, -92, Sky blue, Royal blue
96, -79, 96, -77, 97, -67, Pink, Spring green
95, -63, 100, -59, 99, -64, Tan, Tomato
76, 24, 76, 25, 66, 22, Honeydew, Dark violet
-17, -87, -29, -92, -21, -85, Light slate gray, Light grey
-55, 27, -43, 24, -57, 16, Slate gray, Aqua
100, 85, 92, 83, 93, 82, Golden rod, Linen
-58, -72, -54, -71, -61, -66, Medium aqua marine, Plum
93, -20, 92, -16, 93, -12, White smoke, Gray
-86, -89, -83, -95, -89, -100, Wheat, Medium blue
-44, -95, -43, -86, -49, -89, Green, Slate blue
90, -31, 84, -42, 83, -34, Sandy brown, Sea green
91, -63, 96, -56, 100, -63, Dark sea green, Chocolate
-30, 23, -27, 5, -22, 10, Light pink, Orange
53, -55, 57, -47, 62, -51, Wheat, Dim grey
-38, 57, -36, 57, -47, 72, Light coral, White smoke
-40, -38, -35, -44, -39, -49, Aqua marine, Light golden rod yellow
-45, -74, -47, -77, -47, -77, Cadet blue, Yellow green
-1, -84, -3, -81, -7, -88, Light salmon, Green
86, -27, 89, -18, 93, -24, Light blue, Dark gray
-19, 34, -11, 26, -14, 33, Medium blue, Yellow green
-65, 20, -66, 16, -52, 25, Light blue, Medium blue
25, 96, 33, 84, 32, 85, Magenta, Light blue
48, -10, 55, -11, 56, -16, Navy, Dark turquoise
-19, -21, -20, -15, -14, -21, Light grey, Green
-39, 75, -29, 73, -33, 71, Slate gray, Gray
82, 67, 71, 66, 73, 66, Sienna, Royal blue
-65, -85, -69, -99, -57, -86, Violet, Medium violet red
-25, -51, -35, -44, -33, -60, Snow, Light slate gray
76, 89, 87, 90, 82, 99, Royal blue, Yellow
-65, 71, -67, 72, -60, 62, Alice blue, Light blue
15, 39, 23, 41, 23, 40, Gray, Light golden rod yellow
-67, -56, -69, -56, -66, -59, Orange, Slate blue
-96, 13, -91, -2, -98, 7, Dark golden rod, Ghost white
-42, -38, -48, -52, -55, -39, Grey, Deep pink
83, 91, 85, 97, 82, 89, Blue violet, Green
98, -29, 98, -36, 95, -24, Snow, Pink
-3, -14, 5, -11, 8, -19, Turquoise, Light gray
-99, 58, -97, 60, -83, 54, Linen, Coral
-40, -61, -36, -69, -35, -64, Deep pink, Lemon chiffon
2, -67, 4, -68, -2, -68, White, Silver
-95, -84, -95, -84, -94, -77, Dark gray, Medium turquoise
-16, -68, -7, -77, -4, -58, Mint cream, Bisque
8, -88, 1, -94, 8, -93, Light yellow, Violet
63, -65, 64, -71, 59, -75, Light slate gray, Fuchsia
46, 46, 54, 59, 42, 56, Dark red, Gray
-85, -92, -82, -91, -79, -96, Old lace, Dark orchid
60, 26, 61, 15, 66, 29, Light grey, Pale violet red
47, 49, 55, 38, 51, 47, Medium blue, Dark grey
94, 10, 85, 23, 84, 19, Beige, Dark olive green
69, -79, 72, -79, 69, -81, Sea green, Light golden rod yellow
41, 50, 43, 49, 43, 35, Brown, Green yellow
-1, -57, 2, -55, -8, -53, Cyan, Medium spring green
-81, -92, -79, -97, -85, -99, Alice blue, Dark orchid
89, 72, 77, 70, 83, 64, Misty rose, Plum
-27, -99, -32, -90, -29, -90, Blue, Spring green
-18, 17, -17, 14, -25, 15, Indigo, Light salmon
86, -72, 89, -80, 87, -83, Dark slate gray, Snow
-69, -10, -58, -17, -61, -18, Tomato, Firebrick
-68, -84, -58, -87, -61, -80, Light yellow, Dark cyan
-48, 85, -55, 90, -49, 87, Misty rose, White
8, 27, 5, 18, 12, 28, Golden rod, Steel blue
-87, -75, -88, -74, -81, -67, Medium slate blue, Light blue
88, -62, 81, -56, 86, -49, Dark orange, Ivory
-95, 35, -82, 38, -87, 38, Pale golden rod, Ivory
57, -57, 52, -51, 54, -49, Orange, Tomato
-83, 36, -88, 36, -88, 33, Snow, Dark grey
85, -82, 87, -67, 80, -70, Golden rod, Dark grey
95, -72, 96, -70, 92, -74, White, Antique white
46, 25, 39, 23, 32, 35, Maroon, Pale green
-25, 4, -27, 3, -25, -4, Red, Purple
-28, 94, -31, 95, -18, 97, Sea shell, Dark salmon
